Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
A Whiter Shade of Pale	Procol Harem		Rob's Top 200 2018	Rob's Top 200 2018					Classic Rock	7713514	240					196	3/9/19, 12:36 AM	5/15/18, 8:59 PM	256	44100		MPEG audio file		Digitally Remastered AIR Har	1	12/10/10, 9:00 PM	2	6/2/18, 6:41 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/A Whiter Shade of Pale.mp3
The Rainbow Connection [Outtake]	The Carpenters		Misc Top 200	Misc Top 200	top200, treacle				Rock/Pop	4428197	276			13			3/9/19, 12:43 AM	5/15/18, 9:28 PM	128	44100		MPEG audio file			1	12/10/10, 9:54 PM	1	5/2/19, 9:46 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Misc Top 200/13 The Rainbow Connection [Outtake].mp3
Helplessly Hoping	Crosby, Stills & Nash		Rob's Top 200 2018	Rob's Top 200 2018					Rock	2463664	153			2		1992	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		http://mp3.alkar.net			1	6/2/18, 6:51 PM	20	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/02 Helplessly Hoping.mp3
Tears in Heaven	Eric Clapton		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					5565170	278			10	18		3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 9:12 PM	3	6/19/17, 6:13 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/10 Tears in Heaven.mp3
Pinball Wizard	The Who		Rob's Top 200 2018	Rob's Top 200 2018					Rock	4323101	180	1	1	13	19	1988	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		backup 8	1	12/10/10, 10:40 PM	5	6/2/18, 7:02 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/13 Pinball Wizard.mp3
If You Could Read My Mind	Gordon Lightfoot		Misc Top 200	Misc Top 200					Pop	7611390	229	1	1	8	11	1981	3/9/19, 12:44 AM	5/15/18, 9:31 PM	256	44100		MPEG audio file		Amazon.com Song ID: 213896844			2	12/4/13, 8:53 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Various Artists/Misc Top 200/08 If You Could Read My Mind.mp3
Katy_Perry_-_Chained_To_The_Rhythm_Official_ft_Skip_Marley[YoutubeConverter.Me]	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						9648548	240						3/9/19, 12:36 AM	5/15/18, 8:59 PM	320	44100		MPEG audio file					1	6/21/17, 11:08 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Katy_Perry_-_Chained_To_The_Rhythm_Official_ft_Skip_Marley[YoutubeConverter.Me].mp3
Fare Thee Well	Indigo Girls		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	4836957	241	1	1	10	11	1994	3/9/19, 1:23 PM	5/15/18, 9:31 PM	160	44100		MPEG audio file			1	12/10/10, 9:51 PM	1	12/5/13, 11:43 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2006/10 Fare Thee Well.mp3
Crosby, Stills, Nash & Young - Marrakesh Express [Live at Woodstock 1969]	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2472933	153						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file					2	6/2/18, 6:42 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Crosby, Stills, Nash & Young - Marrakesh Express [Live at Woodstock 1969].mp3
Pump It Up	Elvis Costello & The Attractions		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	3935219	196	1	1	4	22	1978	3/9/19, 12:34 AM	5/15/18, 9:27 PM	160	44100		MPEG audio file					1	12/12/08, 8:30 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/04 Pump It Up.mp3
25 or 6 to 4	Chicago		Rob's Top 200 2018	Rob's Top 200 2018					Oldies	4700948	293					19	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 8:36 PM	8	6/2/18, 7:25 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/25 or 6 to 4.mp3
Read My Mind	The Killers		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Alternative	4980677	248			18	20	2006	4/11/19, 11:41 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file			13	9/12/10, 11:07 AM	5	8/28/15, 11:48 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/18 Read My Mind.mp3
Beauty Is Only Skin Deep	Temptations		Rob's Top 200 2018	Rob's Top 200 2018					R&B	2310700	144					2011	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		kupencoded	1	12/10/10, 9:42 PM	4	6/2/18, 6:44 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Beauty Is Only Skin Deep.mp3
Lego House	Ed Sheeran		Bill's Top 200 2018	Bill's Top 200 2018					Pop	6621768	185			9	16	2011	4/12/19, 12:18 AM	5/15/18, 10:25 PM	256	44100		Purchased AAC audio file			1	5/19/18, 11:05 AM	1	6/2/18, 6:51 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/09 Lego House.m4a
Prince - 1999 (Official Music Video)	Prince		Rob's Top 200 2018	Rob's Top 200 2018					Music	3814798	225					2018	4/12/19, 12:18 AM	5/18/18, 1:37 PM	128	44100		MPEG audio file		Download Youtube videos and MP3 on GenYoutube.net 			2	5/19/18, 11:47 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Prince - 1999 (Official Music Video).mp3
Somewhere Out There	Linda Ronstadt / James Ingram		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock/Pop	3841424	239			18			3/9/19, 12:34 AM	5/15/18, 9:27 PM	128	44100		MPEG audio file			1	12/10/10, 10:05 PM	3	6/2/18, 8:00 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/18 Somewhere Out There.mp3
Shut Up And Let Me Go	The Ting Tings		Rob's Top 200 2018	Rob's Top 200 2018					Alternative Rock	5213643	171	1	1	5	10		4/12/19, 12:18 AM	5/15/18, 8:59 PM	239	44100		MPEG audio file		Amazon.com Song ID: 206895964	2	12/10/10, 8:33 PM	1	12/9/11, 10:41 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/05 Shut Up And Let Me Go.mp3
Straight Lines	Silverchair		Bill's Top 200 2017	Bill's Top 200 2017					Alternative	5198497	259			6	20	2007	3/9/19, 12:39 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 9:53 PM				Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2017/06 Straight Lines.mp3
My Girl	The Temptations		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				R&B	3588829	179	1	5	21	28	1965	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:07 PM	8	6/2/18, 8:38 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-21 My Girl.mp3
Moonlight Serenade	Glenn Miller and His Orchestra		Bill's Top 200 2018	Bill's Top 200 2018					Jazz	7377882	202	2	2	12	19	2005	4/12/19, 12:18 AM	5/15/18, 10:20 PM	256	44100		Purchased AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-12 Moonlight Serenade.m4a
Friends (Digitally Remastered 01)	The Beach Boys		Rob's Top 200 2018	Rob's Top 200 2018					Pop	4687884	153	1	1	2	29	1990	3/9/19, 12:36 AM	5/15/18, 8:59 PM	241	44100		MPEG audio file		Amazon.com Song ID: 201981533	1	12/7/12, 11:12 PM	4	6/2/18, 7:06 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/02 Friends (Digitally Remastered 01).mp3
You Won't Be There	The Alan Parsons Project		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	4289970	214	1	1	4	9	1979	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file					4	6/19/17, 5:55 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/04 You Won't Be There.mp3
If I Fell	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	2844347	142	1	1	3	13	1964	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/11/10, 12:05 AM	7	6/2/18, 9:38 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/03 If I Fell.mp3
Yesterday	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	2552285	127	1	1	13	14	1965	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 9:00 PM	4	6/2/18, 6:32 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/13 Yesterday.mp3
Does Anybody (Know What Time It Is)	Chicago		Rob's Top 200 2018	Rob's Top 200 2018					General Rock	2879524	179			4			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob			4	12/7/13, 7:21 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/04 Does Anybody (Know What Time It Is).mp3
Say You Love Me	Fleetwood Mac		Bill's Top 200 2018	Bill's Top 200 2018					Rock	5029221	251	1	1	7	11	1975	4/11/19, 11:39 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/10/10, 9:04 PM	4	6/2/18, 7:41 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/07 Say You Love Me.mp3
Getting Better_rob	The Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Pop	4015280	167			3	11	1967	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		TRACK04.mp3 - 	2	12/10/10, 11:39 PM	6	6/2/18, 7:16 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/03 Getting Better_rob.mp3
There Goes My Heart	Johnny Mathis		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Jazz	4464469	223	1	4	10	23	1993	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file					1	12/6/11, 1:07 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-10 There Goes My Heart.mp3
I'll Follow The Sun	Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Rock	1775471	111						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob			2	12/7/12, 10:19 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/I'll Follow The Sun.mp3
You'll Never Know	Ella Fitzgerald		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Jazz	3807765	190	4	4	13	20	1950	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 9:20 PM	3	7/19/16, 8:19 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/4-13 You'll Never Know.mp3
