Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Easy Listening	3750321	187	1	1	7	10	1981	12/6/13, 12:13 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:03 AM	4	8/28/15, 11:48 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:07 Evergreen (Love Theme From _A Star Is Born_).mp3
Please Let Me Wonder	Beach Boys		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3314988	165			5	29		12/6/13, 12:18 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/11/10, 12:07 AM	10	8/28/15, 11:51 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:05 Please Let Me Wonder.mp3
Rhapsody On A Theme Of Paganini - Rachmaninoff	John Barry		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Soundtrack	3473380	173	1	1	5	9	1980	7/4/17, 12:00 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:48 PM	2	8/28/15, 11:49 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:05 Rhapsody On A Theme Of Paganini - Rachmaninoff.mp3
Landslide	Fleetwood Mac		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	3993718	199	1	1	8	11	1975	12/6/13, 12:16 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:54 PM	7	8/28/15, 11:40 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:08 Landslide.mp3
You've Lost that Lovin' Feelin'	The Righteous Brothers		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	4554343	227	1	2	12	16	1989	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:10 AM	3	8/28/15, 11:54 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-12 You've Lost that Lovin' Feelin'.mp3
Fix You	Coldplay		X&Y						Rock/Pop	4725167	295			4		2005	12/6/12, 3:48 PM	5/15/18, 8:58 PM	128	44100		MPEG audio file		 00000F81 000010DD 000045BD 00005881 0003F7CE 0003F7B7 00008000 00008000 00033495 0002E65E			2	8/28/15, 11:49 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Coldplay:X&Y:04 Fix You.mp3
Unforgettable (new)	Nat King Cole		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Jazz	4152557	207	1	2	13	18	1961	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:19 PM	5	8/28/15, 11:34 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-13 Unforgettable (new).mp3
Don't Worry Baby	Beach Boys		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3392306	169			4	28		12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:06 AM	3	8/28/15, 11:46 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:04 Don't Worry Baby.mp3
Waterloo Sunset	Rushes									3845068	239						10/6/14, 2:58 PM	5/15/18, 8:58 PM	128	44100		MPEG audio file					2	10/6/14, 3:09 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Rushes:Unknown Album:Waterloo Sunset.mp3
Warm Ways	Fleetwood Mac		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	4700072	234	1	1	2	11	1975	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:50 PM	4	8/28/15, 11:30 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:02 Warm Ways.mp3
