124,Both Sides Now (2000),Joni Mitchell,110,
125,Satellite,Guster,156,
126,You Don't Know Me,Ray Charles,145,
127,Unchained Melody,Righteous Brothers,89,
128,Rolling in the Deep,Adele,155,
129,Take It Easy,"Eagles, HM - Jackson Browne",111,
130,Since I Lost My Baby,Temptations,121,
131,Stairway to Heaven,Led Zeppelin,148,
132,Never My Love,Association,173,
133,People Get Ready,Impressions,138,
134,Wonderland By Night,Bert Kaempfert,195,
135,Somewhere,Tymes,166,
136,Something,Beatles,158,
137,Memory,Betty Buckley & Cynthia Onrubia (Cats),123,
138,I Want To Know What Love Is,Foreigner,119,
139,Just a Little,Beau Brummels,196,
140,I Can't Stop Loving You,Ray Charles,151,
141,I Won't Last a Day Without You,Carpenters,101,
142,I Go to Pieces,Peter and Gordon,201,
143,Because,Dave Clark Five,143,
144,Will You Love Me Tomorrow,Shirelles,142,
145,It Hurts To Be in Love,Gene Pitney,140,
146,My Girl,Temptations,99,
147,This Town,Niall Horan,147,
148,Silver Springs,Fleetwood Mac,134,
149,I'm Into Something Good,Herman's Hermits,153,
150,The Land of Make-Believe,Moody Blues,199,
151,Say Something,A Great Big World &Christina Aguilera,164,
152,You're Gonna Lose That Girl,Beatles,172,
153,Close to You,Carpenters,117,
154,"(You're So Square) Baby, I Don't Care",Buddy Holly,202,
155,Freelove,Depeche Mode,203,
156,Gravity,Sara Bareilles,198,
157,Special,Garbage,118,
158,Running Water,Moody Blues,204,
159,Half Heaven - Half Heartache,Gene Pitney,124,
160,New Horizons,Moody Blues,205,
161,Strawberries and Cigarettes,Troye Sivan,206,
162,Piano Concerto No. 1 in B Minor,Tchaikovsky,194,
163,Soon Be To Nothing,Indigo Girls,174,
164,Hold Me Now,Thompson Twins,165,
165,I'm in Love,Teenage Fanclub,188,
166,Amnesia,Five Seconds of Summer,152,
167,It's Time,Imagine Dragons,144,
168,Theme from Somewhere in Time,John Barry,207,
169,It's My Life,Talk Talk,176,
170,We Can Work It Out,Beatles,160,
171,Hymn For the Weekend,Coldplay,193,
172,So Sick,Ne-Yo,136,
173,Need You Now,Lady Antebellum,168,
174,You're Just In Love (I Wonder Why),"Perry Como with Fontane Sisters, HM - Carpenters",182,
175,The Fighter,Gym Class Heroes feat. Ryan Tedder,163,
176,A Little Respect,Erasure,157,
177,The World Spins Madly On,Weepies,185,
178,You'll Never Know,Ella Fitzgerald,186,
179,There Goes My Heart,Johnny Mathis,192,
180,Say You Love Me,Fleetwood Mac,141,
181,Yesterday,Beatles,197,
182,You Won't Be There,Alan Parsons Project,183,
183,Moonlight Serenade,Glenn Miller,150,
184,Straight Lines,Silverchair,208,
185,Somewhere Out There,Linda Ronstadt & James Ingram,126,
186,Lego House,Ed Sheeran,179,
187,Read My Mind,Killers,177,
188,Pump It Up,Elvis Costello,154,
189,Fare Thee Well,Indigo Girls,209,
190,If You Could Read My Mind,Gordon Lightfoot,210,
191,Tears in Heaven,Eric Clapton,125,
192,The Rainbow Connection,Carpenters,211,
193,Rave On,Buddy Holly,187,
194,Lie to Me,Depeche Mode,212,
195,Everything I Own,Bread,213,
196,The Drugs Don't Work,The Verve,214,
197,Become You,Indigo Girls,162,
198,Big Wide World,Teddy Randazzo,122,
199,It's Tricky,Run-D.M.C.,191,
200,When We're Old Men,Yellowcard,215,
