Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
End Title (You Are Karen)	John Barry		Rob's Top 200 2018	Rob's Top 200 2018					Soundtracks	7878604	239	1	1	12	12	1986	4/12/19, 12:18 AM	5/15/18, 8:59 PM	256	44100		MPEG audio file		Amazon.com Song ID: 208806970			2	8/28/15, 11:46 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/12 End Title (You Are Karen).mp3
Island In The Sun	Weezer		Rob's Top 200 2018	Rob's Top 200 2018					137	3372300	210			4		2001	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		Tagged by Jesus Christ	1	12/10/10, 11:37 PM	3	8/28/15, 11:51 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/04 Island In The Sun.mp3
012-Rolling Stones_It's Only Rock 'n Roll (But I Like It)	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						4952544	308						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:46 PM	5	8/28/15, 11:47 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/012-Rolling Stones_It's Only Rock 'n Roll (But I Like It).mp3
I Feel Fine_rob	The Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Pop	3324367	138			11	15	1964	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		11	1	12/11/10, 12:13 AM	5	6/2/18, 10:10 PM	60	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/11 I Feel Fine_rob.mp3
True Love Ways	Buddy Holly		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Country	3405465	170	2	2	19	25	1958	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/21/10, 3:04 PM	5	6/2/18, 10:09 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-19 True Love Ways.mp3
You're Gonna Lose That Girl	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	2811437	140	1	1	6	14	1965	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file					3	6/2/18, 10:08 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/06 You're Gonna Lose That Girl.mp3
I'll Be Back_rob	The Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Pop	3370144	140			13	13	1963	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		TRACK13.mp3 -	5	12/10/11, 12:14 AM	9	8/28/15, 11:48 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/13 I'll Be Back_rob.mp3
Rock N' Roll Music	Chuck Berry		Rob's Top 200 2018	Rob's Top 200 2018						2448156	152			1			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob			5	6/2/18, 10:07 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/01 Rock N' Roll Music.mp3
California Girls_rob	Beach Boys		Rob's Top 200 2018	Rob's Top 200 2018					Rock	4004613	166	1	1	1	30	2003	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		backup 33	1	12/10/10, 11:49 PM	5	6/2/18, 10:06 PM	80	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/01 California Girls_rob.mp3
Every Little Thing She Does Is Magic_rob	The Police		Rob's Top 200 2018	Rob's Top 200 2018					Rock	6266620	261			2	11	1981	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		backup 8	2	12/10/10, 11:56 PM	6	6/2/18, 10:05 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/02 Every Little Thing She Does Is Magic_rob.mp3
