Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Wildwood Flower	The Carter Family		The Carter Family: 1927 - 1934 [Disc 1]						Country & Folk	3179596	190	1	5	16	25	1928	4/11/19, 11:41 PM	4/10/19, 1:02 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/The Carter Family/The Carter Family_ 1927 - 1934 [Disc 1]/1-16 Wildwood Flower.m4a
Blue Moon Of Kentucky [Live]	Bill Monroe		The Music Of Bill Monroe: From 1936 To 1994 [Disc 2]						Country & Folk	5248448	162	2	4	15	24	1962	4/11/19, 11:30 PM	3/26/19, 3:46 PM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Bill Monroe/The Music Of Bill Monroe_ From 1936 To 1994 [Disc 2]/2-15 Blue Moon Of Kentucky [Live].m4a
A Mansion On The Hill [Single Version]	Hank Williams		The Original Singles Collection Plus [Disc 1]						Country & Folk	2531789	155	1	3	22	26	1947	4/10/19, 11:11 AM	4/10/19, 11:10 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 1]/1-22 A Mansion On The Hill [Single Version].m4a
I Fall To Pieces	Patsy Cline		The Ultimate Collection [Disc 1]						Country & Folk	6220817	168	1	2	4	16	1961	3/24/19, 11:54 AM	3/24/19, 11:54 AM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Patsy Cline/The Ultimate Collection [Disc 1]/1-04 I Fall To Pieces.m4a
White House Blues	Bill Monroe		The Music Of Bill Monroe: From 1936 To 1994 [Disc 2]						Country & Folk	4368454	134	2	4	6	24	1954	4/27/19, 11:17 AM	3/26/19, 3:41 PM	256	44100		AAC audio file			1	9/17/19, 10:50 AM				Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Bill Monroe/The Music Of Bill Monroe_ From 1936 To 1994 [Disc 2]/2-06 White House Blues.m4a
Crazy	Patsy Cline		The Ultimate Collection [Disc 1]						Country & Folk	6181281	164	1	2	7	16	1961	3/24/19, 11:55 AM	3/24/19, 11:55 AM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Patsy Cline/The Ultimate Collection [Disc 1]/1-07 Crazy.m4a
What Would You Give In Exchange For Your Soul	Bill Monroe & The Monroe Brothers		Music Of Bill Monroe: From 1936 To 1994 [Disc 1]						Country & Folk	6294660	193	1	4	2	24	1936	4/11/19, 11:59 PM	3/26/19, 3:21 PM	256	44100		AAC audio file					1	9/19/19, 3:55 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Music Of Bill Monroe_ From 1936 To 1994 [Disc 1]/1-02 What Would You Give In Exchange For Your Soul.m4a
Long Gone Lonesome Blues	Hank Williams		The Original Singles Collection Plus [Disc 2]						Country & Folk	2596434	158	2	3	9	28	1950	4/10/19, 11:36 AM	4/10/19, 11:35 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 2]/2-09 Long Gone Lonesome Blues.m4a
You Win Again	Hank Williams		The Original Singles Collection Plus [Disc 3]						Country & Folk	2587237	157	3	3	6	30	1952	4/10/19, 12:01 PM	4/10/19, 12:01 PM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 3]/3-06 You Win Again.m4a
Tennessee Stud [Live]	Johnny Cash		American Recordings						Country & Folk	5859453	174	1	1	9	13	1994	4/12/19, 12:28 AM	3/22/19, 11:46 AM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Johnny Cash/American Recordings/09 Tennessee Stud [Live].m4a
Tom Ames' Prayer	Steve Earle		Train A Comin'						Country & Folk	6069500	182	1	1	6	13	1995	3/25/19, 2:17 PM	3/25/19, 2:17 PM	256	44100		AAC audio file			1	9/19/19, 3:58 PM				Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Steve Earle/Train A Comin'/06 Tom Ames' Prayer.m4a
Loretta	John Prine		Poet: A Tribute To Townes Van Zandt						Country & Folk	7873826	239	1	1	7	15	2001	3/30/19, 2:40 PM	3/27/19, 11:18 AM	256	44100		AAC audio file			1	9/19/19, 4:02 PM				Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Poet_ A Tribute To Townes Van Zandt/07 Loretta.m4a
Pretty Boy Floyd	Woody Guthrie		Dust Bowl Ballads						Country & Folk	3061241	192	1	1	3	15	2000	4/12/19, 12:23 AM	4/10/19, 3:54 PM	128	44100		AAC audio file			1	9/19/19, 4:20 PM				Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Woody Guthrie/Dust Bowl Ballads/03 Pretty Boy Floyd.m4a
