Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The A Team	Ed Sheeran		Bill's Top 200 2018	Bill's Top 200 2018					Pop	8447170	258	1	1	1	4	2011	3/9/19, 12:34 AM	5/15/18, 8:58 PM	256	44100		MPEG audio file		Amazon.com Song ID: 226175112			5	6/2/18, 10:06 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 The A Team.mp3
Here, There And Everywhere	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	2920631	145	1	1	5	14	1966	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:45 PM	7	6/2/18, 10:05 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/05 Here, There And Everywhere.mp3
Meditation from Thais - Massinet	Royal Philharmonic Orchestra		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Classical	5563662	278			9	15		3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file							100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/09 Meditation from Thais - Massinet.mp3
It's Up To You	Ricky Nelson		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	3580969	178	2	4	16	29	2000	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:56 PM	7	8/28/15, 11:42 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-16 It's Up To You.mp3
Rather Be (feat. Jess Glynne)	Clean Bandit		Bill's Top 200 2018	Bill's Top 200 2018					Rock	6002554	227	1	1	1		2014	4/12/19, 12:18 AM	5/15/18, 8:58 PM	209	44100		MPEG audio file					5	8/27/15, 8:14 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 Rather Be (feat. Jess Glynne).mp3
Let It Be Me	The Everly Brothers		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Country	3171987	158	1	4	20	23	1959	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:58 PM	3	8/28/15, 11:38 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-20 Let It Be Me.mp3
Across the Universe (remix) (Remix)	Rufus Wainwright		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	5063703	253			13	21	2001	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file		(Remix)	1	12/10/10, 11:46 PM	1	8/28/15, 11:50 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/13 Across the Universe (remix) (Remix).mp3
Only Love Can Break A Heart	Gene Pitney		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Easy Listening	3406530	170	1	2	14	25	1995	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			4	12/11/10, 12:00 AM	6	6/2/18, 9:59 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-14 Only Love Can Break A Heart.mp3
A Different Corner	George Michael		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					3883345	242			14			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:43 PM	2	7/4/17, 12:00 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/14 A Different Corner.mp3
History Of Us	Indigo Girls		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Folk	6429377	321	1	1	10	10	1989	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:02 AM	3	8/28/15, 11:46 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/10 History Of Us.mp3
He's a Rebel	Crystals		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					2877166	143			6	30		3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:57 PM	4	8/28/15, 11:43 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/06 He's a Rebel.mp3
In Dreams	Roy Orbison		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock/Pop	2741731	170			14			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:10 PM	4	6/2/18, 10:21 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/14 In Dreams.mp3
Shake The Disease	Depeche Mode		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	5742380	287	1	1	10	13	1985	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 10:58 PM	3	8/28/15, 11:26 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/10 Shake The Disease.mp3
Vincent	Don McLean		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					3862865	241			13			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:43 PM	5	8/28/15, 11:19 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/13 Vincent.mp3
Up On The Roof	The Drifters		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				R&B	3184987	159	2	2	5	20	1964	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:20 PM	6	6/2/18, 9:20 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-05 Up On The Roof.mp3
How Deep Is Your Love	Bee Gees		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	4864177	243	2	2	2	19	1977	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:25 PM	1	6/2/18, 9:51 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-02 How Deep Is Your Love.mp3
Bridge Over Troubled Water	Simon & Garfunkel		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	5901717	294	3	3	15	19	1997	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:30 PM	10	6/2/18, 9:49 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/3-15 Bridge Over Troubled Water.mp3
One	Ed Sheeran		Bill's Top 200 2018	Bill's Top 200 2018					Rock	6720956	252	1	1	1		2014	4/11/19, 11:55 PM	5/15/18, 8:58 PM	211	44100		MPEG audio file					3	8/24/15, 10:58 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 One.mp3
Crying	Roy Orbison		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock/Pop	2696174	167			6			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			2	12/9/11, 11:26 PM	5	8/28/15, 11:37 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/06 Crying.mp3
Tenerife Sea	Ed Sheeran		Bill's Top 200 2018	Bill's Top 200 2018					Rock	6529362	241	1	1	8		2014	4/12/19, 12:18 AM	5/15/18, 8:58 PM	214	44100		MPEG audio file					3	8/24/15, 10:47 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/08 Tenerife Sea.mp3
Someone To Watch Over Me	Linda Ronstadt		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	5073691	253	1	2	5	15	1986	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			4	12/10/10, 11:33 PM			100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-05 Someone To Watch Over Me.mp3
Save The Best For Last	Vanessa Williams		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				R&B	4459253	222	1	2	9	15	1991	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/10/10, 11:31 PM	3	6/2/18, 9:43 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-09 Save The Best For Last.mp3
Kiss Me Goodbye	Petula Clark		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					3810620	238			4			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:59 PM	2	12/7/12, 11:50 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/04 Kiss Me Goodbye.mp3
Love Will Come To You	Indigo Girls		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Folk	5554812	277	1	1	6	13	1992	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:47 PM	7	6/2/18, 6:52 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/06 Love Will Come To You.mp3
Father and Son	Cat Stevens		Bill's Top 200 2018	Bill's Top 200 2018						3515123	219			15			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:12 PM	3	8/28/15, 11:28 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/15 Father and Son.mp3
If I Fell	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	2844347	142	1	1	3	13	1964	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/11/10, 12:05 AM	7	6/2/18, 9:38 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/03 If I Fell.mp3
Traces	Classics IV		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	3374076	168			5	10	1969	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:04 AM	3	8/28/15, 11:35 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/05 Traces.mp3
