Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Clean Bandit and Zara Larsson_ Live Symphony (192  kbps)										5928000	246						2/10/18, 2:57 PM	5/18/18, 1:38 PM	192	44100		MPEG audio file					1	5/19/18, 11:59 AM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Unknown Artist:Unknown Album:Clean Bandit and Zara Larsson_ Live Symphony (192  kbps).mp3
Against All Odds (Take A Look At Me Now)	Phil Collins		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	4109209	205	1	1	7	16	1998	12/6/13, 12:04 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file					6	8/28/15, 11:05 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:07 Against All Odds (Take A Look At Me Now).mp3
You really got me	Kinks		Rob's Top 200 2006							1862778	132						12/3/12, 5:57 PM	5/15/18, 8:59 PM	112	44100		MPEG audio file		rob	1	12/7/13, 7:27 PM	4	8/28/15, 8:41 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:You really got me.mp3
The Land Of Make-Believe	The Moody Blues		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	5824921	291	1	1	6	8	1972	12/10/07, 11:59 AM	5/15/18, 9:27 PM	160	44100		MPEG audio file			1	12/10/10, 8:28 PM	8	5/19/18, 11:20 AM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:06 The Land Of Make-Believe.mp3
You make my Dreams	Daryl Hall and John Oates		Rob's Top 200 2006							2992128	186			14			12/16/06, 1:14 PM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 10:58 PM	4	8/28/15, 9:24 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:14 You make my Dreams.mp3
Gravity	Sara Bareilles		Little Voice						Pop	4698513	234			5	21	2007	7/1/10, 5:12 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file			4	11/28/13, 11:49 AM				Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Little Voice:05 Gravity.mp3
Here comes the sun			Rob's Top 200 2006						152	2598346	185						7/19/16, 7:11 PM	5/15/18, 8:59 PM	112	44100		MPEG audio file		rob	1	7/31/16, 12:21 PM	2	7/19/16, 8:15 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:Here comes the sun.mp3
Yesterday	The Beatles		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	2552285	127	1	1	13	14	1965	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 9:00 PM	3	12/6/13, 10:04 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:13 Yesterday.mp3
The Wind	Cat Stevens									1653790	102						12/3/12, 5:23 PM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	2	10/10/14, 9:16 PM	3	8/28/15, 10:04 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Cat Stevens:Unknown Album:The Wind.mp3
Just a Little	Beau Brummels		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					2918966	145			19	22		12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 9:50 PM	3	12/9/11, 8:29 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:19 Just a Little.mp3
