Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Try Too Hard	The Dave Clark Five		Rob's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	2610824	130	2	2	1	25	1966	6/21/17, 11:33 PM	5/15/18, 8:59 PM	160	44100		MPEG audio file			2	12/11/10, 12:15 AM	11	5/15/18, 8:44 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:2-01 Try Too Hard.mp3
009-Credence Clearwater Revival - Bad Moon Rising June 1969			Rob's Top 200 2006							1942844	138						12/16/06, 1:14 PM	5/15/18, 8:59 PM	112	44100		MPEG audio file		rob	1	12/11/10, 12:09 AM	5	10/10/14, 11:46 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:009-Credence Clearwater Revival - Bad Moon Rising June 1969.mp3
Scarborough Fair	Simon & Garfunkel		Rob's Top 200 2006						Pop	3037102	190						12/10/07, 1:15 PM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:16 AM	7	5/15/18, 9:57 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:Scarborough Fair.mp3
Blackbird_rob	The Beatles		Rob's Top 200 2006						Pop	3324392	138	1	2	11	17	1968	12/16/06, 1:14 PM	5/15/18, 8:59 PM	192	44100		MPEG audio file		TRACK11.mp3 -	1	12/11/08, 4:33 AM	6	10/10/14, 11:48 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:1-11 Blackbird_rob.mp3
BBeach Boys - Darlin' (live 1980)										2743404	137						12/19/04, 6:01 PM	5/15/18, 8:59 PM	160	44100		MPEG audio file		rob			1	6/21/17, 11:11 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Unknown Artist:Unknown Album:BBeach Boys - Darlin' (live 1980).mp3
Absolutely Right	FIVE MAN ELECTRICAL BAND		Have A Nice Day Vol. 6						Pop	2213147	138					1971	2/14/10, 2:54 PM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	2	1/15/11, 4:46 PM	2	8/28/15, 11:44 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Have A Nice Day Vol. 6:Absolutely Right.mp3
008-Paul Revere & The Raiders - Kicks Apr 1966			Rob's Top 200 2006							2959843	147						12/16/06, 1:14 PM	5/15/18, 8:59 PM	160	44100		MPEG audio file		rob	1	12/11/10, 12:01 AM	7	6/21/17, 11:37 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:008-Paul Revere & The Raiders - Kicks Apr 1966.mp3
God Only Knows	The Beach Boys		Rob's Top 200 2006						soundtrack	2660480	166			12			12/16/06, 1:14 PM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:58 PM	6	8/28/15, 11:54 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:12 God Only Knows.mp3
Save The Best For Last	Vanessa Williams		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				R&B	4459253	222	1	2	9	15	1991	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/10/10, 11:31 PM	2	12/6/13, 11:37 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-09 Save The Best For Last.mp3
027-Rolling Stones - Brown Sugar May 1971			Rob's Top 200 2006							3679361	230						12/16/06, 1:14 PM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:06 AM	6	8/28/15, 11:51 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Rob's Top 200 2006:027-Rolling Stones - Brown Sugar May 1971.mp3
