103,SHUT UP AND DRIVE,RIHANNA,74
104,DIRTY WORK,STEELY DAN,123
105,EIGHT DAYS A WEEK,BEATLES,75
106,SACRIFICE,ELTON JOHN,82
107,TEQUILLA SUNRISE,EAGLES,87
108,HEY BULLDOG,BEATLES,88
109,STRANGER ON THE SHORE,MR.ACKER BILK,94
110,AIN'T NOTHING LIKE THE REAL THING,MARVIN GAYE & TAMMI TERRELL,95
111,HEARTBEAT CITY,CARS,102
112,HAIL HAIL,PEARL JAM,125
113,PHOTOGRAPH,ED SHEERAN,98
114,NO MILK TODAY,HERMAN'S HERMITS,100
115,TELL HER NO,ZOMBIES,104
116,YOU MIGHT THINK,CARS,109
117,BABY BLUE,BADFINGER,108
118,POOR LITTLE FOOL,RICK NELSON,115
119,SINCE I FELL FOR YOU,LENNY WELCH,128
120,ALL THESE THINGS THAT I HAVE DONE,KILLERS,133
121,YOUR PRECIOUS LOVE,MARVIN GAYE & TAMMI TERRELL,121
122,SATISFACTION,ROLLING STONES,132
123,AFRICA,TOTO, 	202 
124,AMERICA,SIMON AND GARFUNKEL,134
125,RUNAWAYS,THE KILLERS,137
126,IN MY LIFE,BEATLES,97
127,I'M INTO SOMETHING GOOD,HERMAN'S HERMITS,89
128,(THE LOVE I SAW IN YOU WAS) JUST A MIRAGE,MIRACLES,114
129,YOU'RE ALL I NEED TO GET BY,MARVIN GAYE & TAMMI TERRELL,112
130,RAVE ON,BUDDY HOLLY,116
131,WONDERFUL WORLD,HERMAN'S HERMITS,118
132,IN THE COUNTRY,CHICAGO,124
133,HELLO MARY LOU,RICK NELSON,127
134,THE UNDERDOG,SPOON,120
135,HEROES AND VILLAINS,BEACH BOYS,129
136,YOU GOT IT,ROY ORBISON,122
137,QUESTIONS 67 & 68,CHICAGO,136
138,LAUGH LAUGH,BEAU BRUMMELS,138
139,HELLO GOODBYE,BEATLES,141
140,THE NIGHT HAS A THOUSAND EYES,BOBBY VEE,144
141,TAKE A BOW,MADONNA,148
142,I WILL,BEATLES,180
143,RIKKI DON'T LOSE THAT NUMBER,STEELY DAN, 	203 
144,"SIGNED,SEALED,AND DELIVERED",STEVIE WONDER,143
145,TONIGHT SHE COMES,CARS,149
146,FOR NO ONE,BEATLES,157
147,NEVER MY LOVE,ASSOCIATION,195
148,GINA,JOHNNY MATHIS, 	204 
149,HOLIDAY ROAD,LINDSAY BUCKINGHAM,110
150,THE A TEAM,ED SHEERAN,145
151,"HELP ME,RHONDA",BEACH BOYS,140
152,THE STORY IN YOUR EYES,MOODY BLUES,142
153,SUPERMASSIVE BLACK HOLE,MUSE,146
154,LOVE YOU INSIDE AND OUT,BEE GEES,147
155,THE WAY YOU DO THE THINGS YOU DO,TEMPTATIONS,164
156,LITTLE SISTER,ELVIS PRESLEY,153
157,LIGHT MY FIRE,DOORS,155
158,PRIVATE EYES,HALL AND OATES,158
159,BIG WIDE WORLD,TEDDY RANDAZZO,166
160,A TIME FOR US (LOVE THEME FROM ROMEO AND JULIET),HENRY MANCINI,177
161,GRAVITY,SARA BAREILLES, 	205 
162,UPRISING,MUSE,182
163,COUSIN DUPREE,STEELY DAN,206
164,ROUSTABOUT,ELVIS PRESLEY,175
165,JUST CAN'T GET ENOUGH,DEPECHE MODE,151
166,LOVE WILL COME TO YOU,INDIGO GIRLS,178
167,HIM OR ME (WHAT'S IT GONNA BE),PAUL REVERE AND THE RAIDERS,163
168,SYNCRONICITY II,POLICE,207
169,THE WARMTH OF THE SUN,BEACH BOYS,165
170,YOU LOST THE SWEETEST BOY,MARY WELLS,169
171,YOU'RE SO SQUARE (BABY I DON'T CARE),BUDDY HOLLY,190
172,THE WIND,CAT STEVENS,196
173,WON'T GET FOOLED AGAIN,WHO,101
174,CALL ME LIGHTNING,WHO,139
175,HOT N COLD,KATY PERRY,150
176,STAIRWAY TO HEAVEN,LED ZEPPELIN,154
177,AFTER THE LOVE IS GONE,EARTH WIND & FIRE, 	208 
178,I'LL FOLLOW THE SUN,BEATLES,135
179,GETTING BETTER,BEATLES,160
180,DOES ANYBODY REALLY KNOW WHAT TIME IT IS,CHICAGO,161
181,IF I FELL,BEATLES,162
182,FRIENDS,BEACH BOYS,167
183,MY GIRL,TEMPTATIONS,173
184,SHUT UP AND LET ME GO,THE TING TINGS,174
185,1999,PRINCE,183
186,BEAUTY IS ONLY SKIN DEEP,TEMPTATIONS,186
187,25 OR 6 TO 4,CHICAGO,152
188,MARRAKESH EXPRESS,"CROSBY, STILLS, NASH ",188
189,CHAINED TO THE RHYTHM,KATY PERRY FT SKIP MARLEY,156
190,PINBALL WIZARD,WHO,171
191,HELPLESSLY HOPING,"CROSBY, STILLS, NASH ",179
192,A WHITER SHADE OF PALE,PROCOL HAREM,189
193,YOU REALLY GOT ME,KINKS,199
194,SMELLS LIKE TEEN SPIRIT,NIRVANA,192
195,CAN'T YOU SEE THAT SHE'S MINE,DAVE CLARK FIVE, 	209 
196,REVOLUTION,BEATLES,168
197,SPARE ME THE DETAILS,THE OFFSPRING,193
198,HERE COMES THE SUN,BEATLES,197
199,YOU MAKE MY DREAMS,HALL AND OATES,198
200,JOSIE,STEELY DAN,210
